stance,target,text
against,ቀይ ባህር,ወልቃይት የአማራ ቀይ ባህር የ ኤርትራ አለቀ
against,ቀይ ባህር,አማራወች   ኤርትራኖች   ስሞኝ   አብዬ   የጭቅላት   ህመም  እና  የንፁሀን   ደም  ነው   እደዜህ   የሜጨብጠውን   የሜይዘውን   ያሳጣው
against,ቀይ ባህር,አያሰፈፈልጎም. እስከዛሬ. ያለነው. የለ ቀይ ባህር   ኖረናን.  ምንም. የሆነ. ነገር. የለም ወሬ.  አታብዛ. ውጣ.  ከአማራ. አገር.  ውጣ
against,ቀይ ባህር,እሬቻ እንኳን በኤርትራ በኢትዮጵያ ማክበር ይቀፋል
against,ቀይ ባህር,ወንድሜ  ማንም የሚዋጋለት የለም ወንድሜ ሲጀምር አማራ ጠላቱ አብይ እና አብይ ብቻ ነው  ይጭሁ!!!!!!  ጦርነት የሚያበቃው አብይን በመገልበጥ ብቻ ነው
against,ቀይ ባህር,ቀይ ባህር  ሴአምርው ይቅር  ሌባው  የኤትዬጵያ  መግስት   እኔ  እሜገርመኝ   የዝናሽ   ነገር
against,ቀይ ባህር,ህጻን የሆነ መሪ ኤሪትረአ ኢትዮጵያ አዳትፈርስ የ ኢትዮጵያ ሕዝብ በሰላም ኤድኖር የጣረች አሁን ይዘላብዳል? ሌላ መዝዝ ሳይመጣ ይሄ ህጻን መረሸን አለበት
against,ቀይ ባህር,ምን እይነት ስይጣን ነው ይሄ ስውዬ እስከመቼ ደም ይገብራል  ፈጣሪ ያጥፋህ  ይብቃን ህዝቡ ተባብሩ ያውርደው ለፍርድ ይቅረብ በደም ተጨማልቃል
against,ቀይ ባህር,አይዞን ኤርትራ እንኳን እናንተ እኛ አማሀራወችም እናግዛችኋለን ምክንያቱም ደም ጠጭዉ መንግስት የደም ፅዋ መቀየር ስለፈለገ ቀድመን ቅንድቡን ማለት ነዉ።
against,ቀይ ባህር,እረ  እኛ  አናስበውም  ስንት ጉዳይ  አለብን  ቀይ ባህር   የህልም እንጀራ   ነው  እንዴ   ቀይ  ባህር   የኤርትራ   ነው    ኤርትራ እራሷነ  የቻለች  ሀገር  ናት
against,ቀይ ባህር,አብይ ወገኖቹን እየተሰናበት ነዉ ሊወገድ ነዉ መሰለኝ አይ እነ ሁሉ ከኛ መኞት አይከለከልም ተመኝ እነ ሽመልስ አብይ
favor,ቀይ ባህር,የራስ ምቀኛ ቀይ ባህርን አብይ ለግሉ የሚዋኝበት አቶነው ኧረ አንዳዴ የምትቃወሙትንም የምደግፍትንም እወቁ ዶር አብይ ጀግና መሪ እድሜ ይስጥህ ከኔ ቀንሶ ይጨምርልህ አመቤቴን
against,ቀይ ባህር,ቀይ ባህር የአብይ አህመድ መቃባሪያ ነዉ
against,ቀይ ባህር,ወደብ ላይ ብትደርስም በሰላም እጠቀምበታለው ብለህ እምታስብ ከሆነ የኤርትራ ህዝብን አለማወቅ ብቻ ነው የሚሆነው።
against,ቀይ ባህር,የምን መጣመር ኣስፈለገ ለወደቀች ኣገር ታድያ፡ኤርትራን መንካት ማለት ኢትዮጵያን ለዘላለሙ ያፈርሳታል
against,ቀይ ባህር,አይ ኢትዩጵያዊኖች ከላፍዉ ታሪካቹሁ አትማሩም ይልቅስ እቺ መበተን ላይ ያለች ሀገርቹሁን ብታድኑ ይሻላል  መስታወት ቤት ዉስጥ የሚኖር ድንጋይ ባየወርዉር ጥሩ ይመልሰናል
favor,ቀይ ባህር,አንዳንተ አባትና  መካሪ ኤትዮጵያ ያስፍልጋታል ከጠሩነት የተማርክ ኤትዮጵያዊ  ነህ
against,ቀይ ባህር,በይን መርተሃልቸው ና እኛ ኤርትራውያን ደግሞ ማን መሆናዥን እናሳየዋለን
against,ቀይ ባህር,ኤርትራኖች ድባቅ መምታት ታቁበታላችሁ የአማራ ህዝብ ከናተ ጎን ነዉ
against,ቀይ ባህር,የኢትዮጵያ  ሕልም ባሕር  ነው  ግድባቹ  ዘግታቹ  ለሱዳን ና  ለግብጽ  ለምን  ኣትሰጥቱም   ግድባቹ  ለግብጽና  ለሱዳን  እንድጠቀሙ   ኣስፈላጊ  ነው
against,ቀይ ባህር,"ኤርትራ የነካ የለውሞ በረካ እትዩጰያ በ ጉራ የቆመሽ ሀገር ናት! እዴት እዴት ነው ወደብ,ዓሳ,ጨው ያስፈልጋል ትላሉ የማን በሕር ነው?"
against,ቀይ ባህር,ከንግዲህ  ለአብይ  እድሜ  ማራዘሚያ የሚሞት ካለ  እላማ   የሌለውና በሽተኛ  መሆን  አለበት
against,ቀይ ባህር,ወይ ሀገሬ በምኑ ዝንጀሮ ዘመን ደረሰች ጎበዝ!!?
against,ቀይ ባህር,ከዓብይ አህመድ አዲስ ነገር መጠበቅ በተለይ በሠላም ችግሮችን የመፍታት  መፍትሔ መጠበቅ ጉም መጨበጥ ነው ! ማሳያውም የታንዛኒያው ድርድር ይሆናል ።
against,ቀይ ባህር,ከኤሪትራ ጋም ሆኖ እሄን ቅኛ ጋዚ አብይን መዳምሳስ ነዉ ፈኖ አይዞ የነኛ ነፃ አዉጭ
favor,ቀይ ባህር,ከፈጣሪ የተሰጠንን መሪ በአግባቡ መከተል በረከት ያስገኛል። በጠላት ሴራ እየተነዱ በተቃራኒ መቆም ከፈጣሪ የተዘረጋልን በረከት ይወሰዳል ።
favor,ቀይ ባህር,ሀሳቡ እጅግ በጣም ጥሩ ነው በጦርነት ሳይሆን በስምምነት ሰጥቶ በመቀበል ይህ ነው ከመሪ የሚጠበቅ ነገር
favor,ቀይ ባህር,ከጠብታ ውኋ እስከ ባህር ውኋ ውሀ የሀገር ሀብት  ውሀ የሰው ህይወት ነው
favor,ቀይ ባህር,አንበሳው ዐብቹ ሁሌም ከጎንህ ነን
against,ቀይ ባህር,እኛ ኑሮ ውድነት ሊገለን ደርሱዋል ስለውሐ ማውራት እንዴት ነው ስለ ኑሮ ብታስቡበት ጥሩ ነው  ሰውም እያለቀ ነው
favor,ቀይ ባህር,እንድህ ያሉ የሀገር ሁልውናን የሚበይኑ አጀንዳዎችን በመንደፍና በመቅረፅ ሁለት ነገር ማሳካት ይቻላል አንደኛው ኢትዮጵያ በአለም ያላትን ሚና ማጉላት ሁለተኛው ህዝቡን ከሠፈር ጭቅጭቅ መንጭቆ ማውጣት ጥሩ መንገድና እይታ ነው በእርታ
favor,ቀይ ባህር,ጀግና አስተዋዪ ነበርክ ምቀኛህ ምቀኛችን በዛ ማልመቱ ቢቀር የሚያለማን እንቅፍት ባልሆን
favor,ቀይ ባህር,አብቹ ጣቅለያችን ብቻ ሰይሆን  ሜዲካል ዶ'ር ሲቪል እንጅነር አርክቴክቸር ኬምስት አርክሎጅስት  ህስቶሪያን ኡስተዝ  አቦ አላህ ጉድለትን አሟልቶ ለዘላለም  የኑርልን
favor,ቀይ ባህር,በጣም ደስ ብሎናል ይገባናል ግን በዚ ቀጪን ካርታ አጥረህ ባህር አይገባቹም የተባልን ያለፉ መሪወቻ ደደቦች ሰለ ነበሩ ነው ? ካሁን ብሃላ እንኮን ሃሳቡ ተነሳ እነጂ ወላ በጉልበት ይሁን።
favor,ቀይ ባህር,ይኸ እንደ መንግስት በታላቅ ሚስጥር ተይዞ የሚሰራ ሀገራዊ ጉዳይ በአደባባይ አውጥቶ ሌክቸር ማድረግ ተገቢነቱ ምንድን ነው ?????
against,ቀይ ባህር,ተሰብሳቢዎቹ ስማቸውን እንኳን በአግባቡ መፃፍ የማይችሉ ጨዋዎች ስለሆኑ በዚህ ሰባተኛ ክፍልን በሚገባ ባላጠናቀቀ ዶማ ራስ መቀለጃ ቢሆኑ አይገርምም።
favor,ቀይ ባህር,እስኪ እድል ይስጠኝ እንደ አባይ በቀይ በህርም አሻራየን ላሳረፍ የኢትዮጵያን ሀያልነት ይመለስ
against,ቀይ ባህር,በአገሩ መጤ እየተባለ ሲታረድ ፥ሲፈናቀል፥ ንብረቱ ሲወድምበት የኖረ ህዝብ 'ቀይ ባህር' ያንተ ነው ምናምን ብትለው ደሙ ሚሞቅ አይመስለኝም።
against,ቀይ ባህር,ፈጣሪ ውሀ ያድርግህ.  የተረገምክ. መዘዝ እንጅ ሰላም አታቅም
favor,ቀይ ባህር,ለማመን እንኳን የሚከብዱ በርካታ የጥፋት ሴራዎች ተደርገዉበት ከሴራ አምልጦ ለሀገር ክብር የቆመ ጀግና መሪ ነው።ስለዚህ ከኛ የሚጠበቀው ለሀገሩ ብሎ ከፍተኛ መስዋዕትነትን ከፍሎ ሀገር እያጸና ያለዉን መሪያችንን መደገፍና ከጎኑ መቆም ብቻ ነው።
favor,ቀይ ባህር,ዛሬውኑ የባህር በር ያስፈልገናል።እናም አላህ የሰጠን ሃቃችን መጠበቅ የእኛ ፈንታ ነው!!!
favor,ቀይ ባህር,ውዱ ድንቁ ዕንቁ መሪያችን ከመጂሮ ጀምሮ ውጤት ተኮርና ሰከት ተኮር ኢትዮጵያን ወደ አየላት ልዕልና ለማድረስ እየተጋ ነው የኛ ልዩነት የእይታ ጉዳይ ነው
favor,ቀይ ባህር,ዳይ የወሎ ፋኖ መሰዋት የሚያስከፍልህ ጉዳይ በመለስ ተኮል የወሎን ክፍለሀገር ሀሰብ ማስመለስ ነው በጎሮ የሚያጋድልህ ጉዳይ ነገር የለም
favor,ቀይ ባህር,አብይ በትክክል ኢትዮጵያን የምተመጥን መሪ ነህ ስል በምክንያት ነው
favor,ቀይ ባህር,ምንም መሰጠት ሳይኖርብን ቀይ ባህር ይገባናል
favor,ቀይ ባህር,አሁንም ጎበዝ ነህ በቃ አንተ ኢትዮጵያ የፈለከው ቀን ምራት ቀጥልበት
favor,ቀይ ባህር,እንደው ይገባቸው ይሆን፣??   መቼም እግዚአብሔር ለዚያች ምድር ያዘጋጀህ ነህ።   ሌላ ዓለም አንተን ቢያገኝ ንጉስና እንቁ ብርቅ አድርጎ ይይዝህ ነበር።  ዳሩ ምን ያደርጋል ትግሉ ከዚህ አለም ገዥው ሰይጣን ጋር ስለሆነ ለጊዜው አይገባችሁም ይሆናል።
favor,ቀይ ባህር,በጣም ጥሩ ሀሳብ ነው ትልቅ ፕሮጀክት ነው በመተባበር እና በጥናት በጎረቤት ሀገሮች ምክክር መብታችንን እና መብታቸውን ጠብቆ መስራት ነው ፈጣሪ ያሳካልናል።
favor,ቀይ ባህር,አገሬ ኢትዮጵያ ለካ ልጆች አሉሽ!!!
favor,ቀይ ባህር,እኛ የሚያስፈልገን እንዲ የዕውቀት ጀግና ነው።
favor,ቀይ ባህር,ፈጣሪ ሆይ ለሀገሬ ጎጠኞችን ሳይሆን እንዲህ አይነት ልበ ብርሃን ሺዎችን አብዛልኝ። በጣም አመሠግናለሁ እንጂነር ።
favor,ቀይ ባህር,ሠላማዊ አሥታራቂ ፣አሥደናቂ ሀሣብ ለተግባራዊነቱ ሁላችንም በቅን ልቦና ልንደግፈው የሚገባ ፡ድንቅ ራዕይ ።
favor,ቀይ ባህር,"ሃሳቡን ስሰማ ልቤ ተንሰፈሰፈ:: እንዲህ ድንቅ ሃሳብ ያላቸውን ኢትዮጲያዊያን ህዝቡ እና መንግስት ድጋፍና እገዛ ለማድረግ ቃል የሚችለውን ሁሉ ማድረግ አለበት:: ይሄ ፕሮጀክት ከተጀመረ በመጀመሪያ ቀን የ10,000 ብር ቦንድ ለመግዛት ቃል እገባለው::"
favor,ቀይ ባህር,የኢትዮጵያ ልጆች አሁን ገና ማሰብ ጀመሩ የተባረከ ሀሳብ ነው እግዚአብሔር ያሳካለን አሜን በሉ ኢትዮጵያውያን ፡፡
against,ቀይ ባህር,ብንቆፍርም ብንቧጭርም መክፈላችን አይቀርም ስንገባ ስንወጣ የግድ የእርግጫ እንከፍላለን ከመክፈል መቼም አናመልጥም ስንት መኣድን ያለበት መሬታቸዉን ዝም ብለን እንዲቆፈር ዝም ብሎ ዉሃ እንዲተኛበት የሚፈቅዱልን ይመስልሃል ቢፈቅዱልን እንኳን በያመቱ በጣም ብዙ ያስከፍሉናል እሱንም እንኳን ከፈቀዱልን ነዉ
against,ቀይ ባህር,እኛ ጥዋት ማታ ተነስተን በእነርሱ ላይ አፍችንን እየከፈትን ዉጊያ ወሬ ውግያ የምንሰብክ ሰዎች እንዴት አድርገዉ ነዉ እስኪ እነርሱ ከእኛ ጋር ተስማምተዉ ይህንን ማድረግ የሚችሉት
against,ቀይ ባህር,እኛ ኮ በጣም ሲበዛ ባለጌ የሆን ህዝብ ነን እሱንም እንኳን ይህንን እሺ ብለዉ ቢፈቅዱልን እንኳን እኛ እነርሱን መተንኮሳችንን አናቆምም በጣም ሲበዛ ባሌጌዎች እኮ ነን እኛ ኮ መቼም ትልቅ አንሆንም የኛ ችግር የባህር በር ወደብ ካናል አይደለም ይህንን ለፖሎቲካ መጫወቻ አታቅርቡት እኛ ብዙ የወደብ አማራጮች ያሉን ሀገር ነን ወደባቸዉን እንድንጠቀም ሁሉም ይፈልጋሉ እኛ ግን የራሳችን የምንለዉን ነገር እናቁም እንተወዉ ይህ መንገድ በጭራሽ የሚያዛልቀን አይደለም ተስማምተን ከጎረቤቶቻችን ጋር በሠላም እንኑር ፀባያችን ግን አይደለም ከጎረቤቶቻችን ጋር እርስ በራሳችንም ጋር እንኳን አያኖረንም
favor,ቀይ ባህር,እግዚአብሔር ዘመንህን ይባርክ እንጅነር መኮንን ጌታቸዉ።ይህንን ካደረክልን ከመለማመጥ ድነን የራሳችንን ባህር ከገኘን እጅግ ትልቅ እድል ነው። እግዚአብሔር ይርዳን
favor,ቀይ ባህር,እንደዚህ ዓይነት ሥራ በዓለማችን የተለመደ ነው። ለባሕሩ የግድ ቅርብ የሆነው ቦታ ሳይሆን ለቦይ የሚመረጠው በተለይ የመሬቱ ውፍረት ብዙ አለታማ ቦታዎች የሌሉበት አካባቢ ሆኖ ከዚያ ለወደብ የሚሆን የውሃ ማጠራቀሚያ ረባዳ ምድር የሚገኝበት ሥፍራ ነው።
favor,ቀይ ባህር,ለመተባበርና ለመተጋገዝ የሚያስችል መንፈስ የለም። አሜሪካ ፓናማን አስገድዳ ነው ቦዩን የቆፈረችው። ብሪታንያ የጅብራልታርን ወሽመጥ ይዛ አለልቅም ብላ ይኸው የራስዋ አድርጋዋለች።
favor,ቀይ ባህር,ሐገሬ አምላክሽ ሊያነሳሽ ሊያበለፅግሽ ሊጎበኝሽ እንደወደደ እነነዚህን የመሳሰሉ አዋቂዎች በውስጥሽ ወለደልሽ አምላካችን ይባረክ
favor,ቀይ ባህር,ድንቅ ሃሳብ ነው ነገር ሁሉ የሚጀምረው ከሃሳብ ቢሆንም ሃሳብን ለማሰብና ነገሮችን በአዲስ መልኩ እንደዚህ ለማሰብ ደግሞ ተግዳሮቶች የግድ መኖር አለባቸው እነዚህን አይነት ሃሳብ በተለየ መልኩ ለማሰብ ደግሞ ነገሮችን ከተለመደው መንገድ ወጥቶ ለማየት የሚደፍ በእውቀት የዳበረ የአለምን ነባራዊ ሁኔታዎች የሚረዳ ደፋር ትውልድ እና ገዢ የሆነ ሃገራዊ እሳቤ ያለው ትውልድ አስፈላጊ ነው ። ኢንጅነር ስለዚህ ድንቅ ሃሳብ እና እይታ ግን እናመሰግናለን ።
favor,ቀይ ባህር,ሀሳቡ የሚገርም ነው የማይቻል የለም የህን አይነት የሀሳብ ማእድን መስማት ደስ ይላል የሚፈፅም የሚያደርግ እግዚአብሔር አለ በህዝቤ ይህን መስማት የሀስብ ምንጭ መፍለቁ ደስ ይላል ለሚሰማው ይከብዳል ግን ይቻላል የዩትዩብ ወሬ ሀገርን ለማፍረስ ከምታወሩ ተነሱ ሞክሩ ብዙ መልካም ሀሳብ ያለው ኢትዮጵያ ልጆች አላት
favor,ቀይ ባህር,አንቴ ለኢትዮጵያ መልካም ሰውንህ ኑሪልኝ ገና
favor,ቀይ ባህር,ኦ ኢትዮጵያ አንቺ ማህፀነ ለምለም በተማረ ተስፉ በቆረጥኩቡት ግዜ ይሄን አሳየሽ!! ህልም የሚመስል ነገር እውን እንዲሆን እጅ ለእጅ ተያይዘን አባይን የኛ እንዳደርግን ይሄንንም እውን ማረግ እንችላለን!! እግዚአብሔር ይጨመርበት ።
favor,ቀይ ባህር,እጅግ በጣም ደስ የምል ሀሳብ ነው፡፡ እትዮጵያ ብዙ የተማሩ ልጆች አላት፡፡ ከ ጦርነት እንደዝ አይነት ምሁራንን ወደ ስራ ማስገባት ጥሩ ነው፡፡መንግስት ጦር ሰባኮችን ብቻ ሳይሆን እንደዝ አይነት ሰዎችን መስማት አለቤት፡፡
favor,ቀይ ባህር,ቢሳካ በጣም ደስ ይላል እውነተኛ ሃሳብ ነው እንዲህ አይነት ሀሳብ ያለው ኢትዮጵያዊ ነው ሚያስፈልገው
favor,ቀይ ባህር,እጅግ በጣም ደስ የሚል ሀሳብ ነው ።አሁን የሆነ ያህል ውስጣዊ ስሜቴ በደስታ ሰከረ።
favor,ቀይ ባህር,እንደዚህ ለሃገራቸው የሚያስቡ ይብዙልን ጥሩ ሃሳብ ነው
favor,ቀይ ባህር,በጣም ጥሩ ሀሳብ ነው ምቀኛ እና ቅናተኛ ካልተነሳብን ከእግዚአብሔር እርዳታ ጋር ኢትዮጵያ ወደብ ይኖራታል በርቱ
favor,ቀይ ባህር,አሏህ ያግዘን ከመንግስታችን ሰላም ፈጥረን ከሰራን በሁሉ ነገር ዉጤት አስመዝግበን እንበለፅጋለን
favor,ቀይ ባህር,ዛሬ ለገጠሙን ችግሮች ቀዳሚው ነገር ለህዝብና ለሀገር የሚጠቅሙ ፕሮጀክቶች በብቃት አለመኖር ነው:: ህዝብ እያፈናቀሉ የቅንጦት ቤተመንግስቶችን ከመገንባት ወደብ መገንባት ብዙ ችግሮቻችን ያስወግዳሉ: አገር ታድጋለች: ድህነት ቀስ በቀስ ይቀንሳል: ሰላም እየመጣ ይሄዳል
favor,ቀይ ባህር,ሰላም ለአለም ኢትዮጵያ ዛሬም ነጌም በልጆቿ አንድነት ትቀጥልላለች ከአዲስ አበባ ኢትዮጵያ ኢትዮጵያ ለዘላለም ትኑር
favor,ቀይ ባህር,በጣም ጥሩ ሀሳብ ነው የዜጎች ጭንቅላት ከጦርነት ውጭ ማሰብ ከቻሉ ታእምር ይሰራሉ
favor,ቀይ ባህር,ጎበዝ ጋዜኛ ከእውቀት ጋር ኢንጂነር እድሜና ጤና ለእርሶ እመኛለሁ መንግሥት ይሄንን ሊያዳምጥ ይገባዋል ጦርነት ሰልችቶናለል
favor,ቀይ ባህር,በሀገራችንና በልጆችዋ መቸም ተስፋ ማንቋርጠው ለዚህ ነው።
favor,ቀይ ባህር,የደስ ደስ ዛሬ ደስ የሚል ትልቅ ችግር ፈቺ ሃሳብ በኢንጂነሩ በኩል አመጣሽልን።ተባረኪ።
favor,ቀይ ባህር,የሚገርም ትንታኔ ከድንቅ ድምጽ ጋር እናመሰግናለን
favor,ቀይ ባህር,ሃሳቡ ትልቅና የሚደገፍ መደገፍም ያለበት ነው። ምክንያቱም ወደቡን የምንሰራው በአገራችን ውስጥ ስለሆነ እንደ አቅማችን ልናሰፋው እንችላለን። ሌሎችም ጥቅሞች ሊኖሩት ይችላል። ምሳሌ ጨው ማምረት፣አሳ ምርት መዝናኛ ሊኖረን ይችላል።
favor,ቀይ ባህር,ሀገራችንን ሰቅዞ ከያዘው ድህነት መላቀቅ የምንችለው የዚህ ዓይነቱን ሀገራዊ የልማት ዕሜርታ መፍጠር የሚችሉ ፕሮጄክቶች ማሰብ ሲገባን እርስ በርስ ምንም ፋይዳ በሌለው ጦርነት ውስጥ መቆየት የለብንም::
favor,ቀይ ባህር,በጣም የሚያስደምም ጅምር እና ሃሳብ ነው፡፡
favor,ቀይ ባህር,በጣም ትልቅና የሚደገፍ ሀሳብ ነው ቀይ ባህርን ወደ ኢትዮጵያ ለመሳብ የተጣለለው የአፋር መሬት ለዚህ ይረዳናል ምክንያቱም አፋር ሜዳ ነው ለቀይ ባህርም ቅርበት አለውና የተቀደሠ ሐሳብ ነው::
favor,ቀይ ባህር,ባጣም ጥሩ ሀሳብ ነው የሰውን ወደብ ከመላማን ይሻላል በዚህ ጉዳይ የሚመላከታው አካለት ማለትም መንግሥት እና ሕዝብ በጋር መስራት ያስፈልጋልናል ።እኔም የበኩሌን ድርሻ እውጣለሁ ። ፈጣሪ ለኢትዬጵያ ሁሌም ይራደታል አሁንም በዚህ ጉዳይ ይራዳኛል።🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹️
favor,ቀይ ባህር,የሚደገፍና የሚሳካ ፕሮጀክት ነዉ ተግባር ሲጀመር ሑላችንም በሙያችን ከአገራችን ጐን ነን
favor,ቀይ ባህር,በውስጤ የነበረው ሃሳብ ፈጣሪ ካንተ ጋራ ይሁን
favor,ቀይ ባህር,የደስታ እንባ ከአይኖቼ እየወረዱ ነው በእውነት እግዚአብሔር ያሳካልናል እኔ በበኩሌ በገንዘብም፣በጉልበትም በማንኛውም መንገድ ለማገዝ ዝግጁ ነኝ ደስ ብሎኛል ዳይ ወደ ስራ ጊዜ የለንም
favor,ቀይ ባህር,ጥሩ ሀሳብ ነው እግዚአብሔር ይርዳን መልካም ነገር ለአገራችን ይሁን ።
favor,ቀይ ባህር,ከውድቀት ትንሣኤን፤ከመጣላት እንዲሁም ኣከባቢዉን ወደባሰ ትርምስ ከማስገባት የጋራ ተጠቃምነትን፣ለችግር ሙሁራዊ መፍትሔን ይዞ የመጣ ሃሳብ ብዬ ኣምናለሁ እናመሰግንሃለን ኢንጅነር ቀጥልበት።
favor,ቀይ ባህር,በጣም ጥሩ አሳብ ነው እንደነ እንደነ መንግሥት ማሰብ ያለበት ወደብ ፍለጋ ለጦርነት ወጭ ከማውጣት እና አላስፈላጊ መስዋዕትነት ከመክፈል የሚሻል ስለሆነ ደጋግሞ ያስብበት
favor,ቀይ ባህር,ወይ ጉድ አንድ ሀገር የነበረን ሃገር አስገንጥለንና ወደብ በመጥፎ መሪዎች ኣጥተን አሁን ወላላጥ አሁንም ጊዜም ፈጅቶ በሰላም ፣በጥበብ ፣ ሁሉንም በሚጠቅምና ስጋት በማይሆን መልኩ በመተሳሰብ ተጠቃሚ መሆን ነው የሚያዋጣው !
favor,ቀይ ባህር,ቆፈርንም ቧጭረንም ቢሆንም እንኳን ማምጣት አለብን ወደብ ያስፈልገናል ።።
favor,ቀይ ባህር,በጣም ጥሩ ሀሳብ ነው ነገር ግን ካናሉን ለመስራት በጀቱን እንዴት እናገኘዋለን? የምእራባውያኑ ተላላኪ የሆነችው ግብፅ በጀቱ እንዳይገኝ መሯሯጧ አይቀርም አይሳካላት እንጂ ጎረቤት ሀገራት በስምምነት ወደብ ቢሰጡን የተሻለ ይሆናል ካናሉን ለመስራት ግን ከፍተኛ ወጪ ያስወጣል።
favor,ቀይ ባህር,ምርጥ እይታ ነው ደፋር መሪ ካለ ይሳካል ! የሰው ለጅ የመያደርገውን አያስብም ።
favor,ቀይ ባህር,ይህን ሀሳብ እኔ ሳብሰለስለው ነበር ተባረክ ኢንጂነር
favor,ቀይ ባህር,እውነትም ኢንጅነር የልብ ወርቅ ፕሮግራም ነዎት
favor,ቀይ ባህር,የተማረ ይግደለኝ ማለት እንዳንተ ያለውን ነው ሌላውማ በመንደር ፖለቲካ ተወሽቀው ሀገር ያምሳሉ ፈጣሪ ረጅም እድሜ ይስጥህ
favor,ቀይ ባህር,የእውነት እንደዚህ ነው የሀገር ሰው ጀግና ነህ ሀሳብህ አሳማኝ ነው ያለምንም ማገራገር ዶክተር አብይ አህመድ እንደሚቀበሉት አልጠራጠርም እናመሰግናለን
favor,ቀይ ባህር,"ህዳሴ ግድባችንን እንደጨረስን ቀጣይ ሜጋ ፕሮጀክታችን ይህኛው መሆን አለበት። በምንም መንገድ የሌላውን መጠቀም ብንችል ያው የሰው ነውና መከራ አያጣውም። ደግሞም ""የሰው ወርቅ አያደቅ"" አይደል የሚባለው።"
against,ቀይ ባህር,በመጀመሪያ ይህ ፕሮጀክት ብዙ ገንዘብ የሚያወጣ ሲሆን ሁልተኛ ኣራቱ የተገለፁት እርቀቱ ብቻ ሳይሆን እኔ ኣሰብን ከሆነ የታሰበው ተራራማ ስለሆነ በጣም ኣስቸጋሪ ነው የመኪና መንገድ እንኳን ላየው ሰው ምን ያህል ኣዳጋች ነው ምናልባት በጂቡቲ ግዛት በኩል ከሆነ ብዙ እድል ይኖራል ብዬ ኣስባለሁ ቦታውን ስለማውቀው ነው ይህንን የምለው ለዚህ ነው ኣሳብ ኣምጪውም ስለ altitude. ያረኩት ጥናት ያለው ይህ ኣይነት የችኩል ወሬ እኛን ለማመርቀን ካልሆነ በኣሁን ግዜ feasible ኣደለም እባካችሁ ይሄ ለፖለቲካ ፍጆታ ብላችሁ ያለግዜው ኣታቅርቡልን መጀመሪያ ግድቡን እንጨርስ
favor,ቀይ ባህር,በጣም ጥሩ አሳብ ነው እንደነ እንደነ መንግሥት ማሰብ ያለበት ወደብ ፍለጋ ለጦርነት ወጭ ከማውጣት እና አላስፈላጊ መስዋዕትነት ከመክፈል የሚሻል ስለሆነ ደጋግሞ ያስብበት
against,ቀይ ባህር,በነገራችን ላይ ወደብ ብቻ ቢሆን ጥሩ ነበር ግን ከጅኦሎጅ አንፃር ብዙ መዕድን ያለው ባህር ውስጥ ነው የባህር ሀይልም እንደዛው ይህ ሁሉ ታሳቢ መደረግ አለበት
favor,ቀይ ባህር,ከጦርነት የጸዳ ሙያዊ የሆነ ትንተና እና እቅድ ነው ። ለኢትዮጵያም ለጎረቤት ሀገሮችም በጋራ የመልማት አማራጭ ነው።
favor,ቀይ ባህር,ሀገራችንን ሰቅዞ ከያዘው ድህነት መላቀቅ የምንችለው የዚህ ዓይነቱን ሀገራዊ የልማት ዕሜርታ መፍጠር የሚችሉ ፕሮጄክቶች ማሰብ ሲገባን እርስ በርስ ምንም ፋይዳ በሌለው ጦርነት ውስጥ መቆየት የለብንም::
against,ቀይ ባህር,ኤርትራ መሬትዋ በዚህ ቁፋሮ ለሁለት እንዲከፈለና ከአዚያ ደግሞ ድልድይ ሰርታ ልታገናኝና በእርስዋ ግዛት የእኛ መርከቦች ለወጡ ሊገቡ ማለት ነው።
favor,ቀይ ባህር,ከውድቀት ትንሣኤን፤ከመጣላት እንዲሁም ኣከባቢዉን ወደ ባሰ ትርምስ ከማስገባት የጋራ ተጠቃምነትን፣ለችግር ሙሁራዊ መፍትሔን ይዞ የመጣ ሃሳብ ብዬ ኣምናለሁ እናመሰግንሃለን ኢንጅነር ቀጥልበት።
favor,ቀይ ባህር,ይቻላል!!! እግዚያብሔርም ይረዳናል ኢ/ር መኮንን ጌታቸው በጣም እናመሰግናለን እጅግ ግሩም ሀሳብ ነው፣ ይልቁኑ የኤርትራ ወንድም እህቶቻችን ሳይመሽ ቤተሰብነታችንን እናቅርበው በነጭ ጅቦች ተሸውደናል የኢትዮጵያ ልማትም ሆነ እድገት ለናንተም ነው።
favor,ቀይ ባህር,በትክክል ቦይ ቀዶ ቀይ ባህርን ማምጣት ይሻላል እባካችሁ ኢኮኖሚውን ያሻሽላል በርቱበት
favor,ቀይ ባህር,ሀሳቡ ቆንጆነው ጎረቤት ሀገሮች ይህን ሀሳብ ይደግፋሉ እነሱም ቢዝነሳቸውን ታሳቢ ያደርጋሉ
favor,ቀይ ባህር,ሀሣቡ ጥሩ ነው ግንባታው በማን መሬት ውስጥ አልፎ ነው ወደቡ ወደ ኢትዮጵያ ድንበር የሚደርሰው?
favor,ቀይ ባህር,ጥሩ ሀሰብ ነዉ ነገሪ ግን ብዙ መሀንድሶች ያጥነት ዉጤት መሆን አለበት።
